txn_id,scheme_code,txn_date,txn_type,amount,units,nav,investor_id,state,kyc_status,folio_no
TXN100042,121018,2020-12-14,SIP,2000.0,6.7505,273.3185,INV3499,Tamil Nadu,KYC_VERIFIED,FOLIO894919
TXN100043,120503,2023-07-06,SIP,1000.0,132.1006,409.5992,INV3225,Delhi,KYC_VERIFIED,FOLIO549986
TXN100044,121018,2023-01-26,Redemption,500.0,163.6116,383.1547,INV8498,Gujarat,KYC_VERIFIED,FOLIO672978
TXN100045,121009,2021-09-30,Redemption,5000.0,152.0782,173.6478,INV2305,Tamil Nadu,KYC_VERIFIED,FOLIO904461
TXN100046,120178,2021-05-18,SIP,1000.0,80.18,404.1968,INV4195,Karnataka,KYC_VERIFIED,FOLIO689744
TXN100047,121007,2020-06-01,SIP,25000.0,152.672,265.948,INV1503,Karnataka,KYC_VERIFIED,FOLIO601841
TXN100048,119386,2022-08-29,SIP,5000.0,83.3405,482.5674,INV8166,Maharashtra,KYC_VERIFIED,FOLIO173387
TXN100049,121015,2020-11-11,Lumpsum,2000.0,85.6727,86.7335,INV9414,Maharashtra,KYC_VERIFIED,FOLIO183789
TXN100050,121018,2024-08-07,Redemption,50000.0,113.0896,67.9133,INV5977,Gujarat,KYC_VERIFIED,FOLIO486222
TXN100051,118825,2022-05-12,SIP,5000.0,74.9992,354.9501,INV4433,Uttar Pradesh,KYC_VERIFIED,FOLIO454803
TXN100052,121008,2020-02-06,Lumpsum,10000.0,132.4964,88.5727,INV7712,Uttar Pradesh,KYC_VERIFIED,FOLIO555415
TXN100053,118989,2024-11-27,Lumpsum,2000.0,82.1415,126.0183,INV9761,Rajasthan,KYC_VERIFIED,FOLIO571716
TXN100054,119386,2023-12-18,Redemption,25000.0,160.3678,312.462,INV4242,Rajasthan,KYC_VERIFIED,FOLIO538858
TXN100055,121016,2022-12-27,SIP,2000.0,198.5447,480.5944,INV3290,Telangana,KYC_VERIFIED,FOLIO556858
TXN100056,119551,2020-07-31,Redemption,10000.0,7.1755,164.0298,INV8749,Gujarat,KYC_PENDING,FOLIO872477
TXN100057,121019,2021-03-17,Lumpsum,50000.0,58.7094,32.2219,INV8188,Uttar Pradesh,KYC_VERIFIED,FOLIO483055
TXN100058,118712,2023-04-12,SIP,2000.0,178.2604,193.2762,INV1914,Delhi,KYC_VERIFIED,FOLIO201761
TXN100059,121004,2023-11-10,Lumpsum,500.0,113.0357,60.9891,INV7089,Karnataka,KYC_PENDING,FOLIO520536
TXN100060,121005,2021-01-21,Lumpsum,2000.0,55.914,273.0909,INV6000,Kerala,KYC_VERIFIED,FOLIO264725
TXN100061,121014,2024-04-02,Lumpsum,1000.0,154.7487,494.1798,INV3334,Telangana,KYC_VERIFIED,FOLIO958618
TXN100062,121002,2020-10-05,Lumpsum,500.0,54.0974,304.6434,INV5206,Delhi,KYC_VERIFIED,FOLIO648002
TXN100063,121012,2024-01-08,SIP,5000.0,13.054,139.8148,INV9146,West Bengal,KYC_VERIFIED,FOLIO833319
TXN100064,121003,2021-02-05,SIP,50000.0,182.5605,408.2521,INV9459,Karnataka,KYC_VERIFIED,FOLIO176208
TXN100065,118825,2020-09-17,SIP,500.0,34.0396,375.8895,INV9733,Rajasthan,KYC_VERIFIED,FOLIO145913
TXN100066,121019,2020-05-08,Lumpsum,500.0,46.8163,463.5457,INV2941,Rajasthan,KYC_VERIFIED,FOLIO149398
TXN100067,119386,2024-10-15,SIP,50000.0,92.8754,344.4766,INV7133,West Bengal,KYC_PENDING,FOLIO880421
TXN100068,120841,2024-12-25,Lumpsum,5000.0,7.5179,122.2973,INV7360,Karnataka,KYC_VERIFIED,FOLIO865256
TXN100069,119203,2023-10-06,SIP,50000.0,130.2992,486.2014,INV5730,Rajasthan,KYC_VERIFIED,FOLIO144164
TXN100070,121007,2023-05-01,SIP,5000.0,97.0671,428.1305,INV9229,Karnataka,KYC_VERIFIED,FOLIO262956
TXN100071,121018,2021-11-05,Redemption,50000.0,14.9299,181.0997,INV6218,Maharashtra,KYC_VERIFIED,FOLIO137258
TXN100072,121001,2022-12-14,Redemption,50000.0,128.0428,11.4617,INV3870,Uttar Pradesh,KYC_VERIFIED,FOLIO247107
TXN100073,121009,2024-03-21,Lumpsum,10000.0,185.5706,48.8663,INV7841,Telangana,KYC_VERIFIED,FOLIO589925
TXN100074,121006,2021-06-07,Lumpsum,2000.0,135.556,153.3794,INV7552,Maharashtra,KYC_VERIFIED,FOLIO387166
TXN100075,121006,2022-06-14,Lumpsum,1000.0,179.7872,482.5442,INV9652,Rajasthan,KYC_VERIFIED,FOLIO561012
TXN100076,120178,2020-11-12,SIP,50000.0,178.2749,373.0593,INV8719,West Bengal,KYC_VERIFIED,FOLIO840216
TXN100077,121009,2023-02-22,SIP,50000.0,136.0533,379.3424,INV5717,Tamil Nadu,KYC_VERIFIED,FOLIO505972
TXN100078,118551,2020-06-24,SIP,1000.0,29.7779,176.5206,INV6135,Delhi,KYC_VERIFIED,FOLIO813523
TXN100079,118890,2020-01-28,Redemption,1000.0,150.7667,79.5882,INV5413,Kerala,KYC_VERIFIED,FOLIO415635
TXN100080,118825,2020-02-20,Redemption,10000.0,175.3243,159.8958,INV6738,Gujarat,KYC_VERIFIED,FOLIO569396
TXN100081,120841,2023-05-12,Lumpsum,2000.0,141.2701,442.1268,INV6148,Maharashtra,KYC_VERIFIED,FOLIO629553
TXN100082,121001,2023-07-26,SIP,25000.0,83.3758,312.2389,INV8234,Gujarat,KYC_VERIFIED,FOLIO685072
TXN100083,121007,2022-05-19,Lumpsum,2000.0,81.7321,311.1639,INV3946,Karnataka,KYC_VERIFIED,FOLIO866982
TXN100084,121003,2023-08-18,SIP,2000.0,117.8956,60.8874,INV6115,Gujarat,KYC_VERIFIED,FOLIO737982
TXN100085,120594,2021-06-24,Lumpsum,10000.0,134.5572,240.2483,INV4754,Karnataka,KYC_VERIFIED,FOLIO759031
TXN100086,119644,2020-08-11,Lumpsum,50000.0,132.3521,241.3155,INV9969,Rajasthan,KYC_VERIFIED,FOLIO766667
TXN100087,121011,2024-08-06,Redemption,2000.0,55.5366,397.2372,INV8244,West Bengal,KYC_REJECTED,FOLIO916021
TXN100088,120178,2023-11-20,SIP,10000.0,104.4685,61.8098,INV3012,West Bengal,KYC_VERIFIED,FOLIO487513
TXN100089,120503,2024-09-06,SIP,10000.0,119.7258,241.5903,INV2340,Uttar Pradesh,KYC_VERIFIED,FOLIO887547
TXN100090,120503,2020-11-09,Lumpsum,5000.0,92.5883,89.0358,INV4810,Rajasthan,KYC_PENDING,FOLIO995606
TXN100091,121010,2023-07-07,Lumpsum,1000.0,111.9547,341.9834,INV3145,Uttar Pradesh,KYC_VERIFIED,FOLIO981094
TXN100092,121018,2022-09-23,Redemption,50000.0,23.0685,486.5586,INV3137,Gujarat,KYC_VERIFIED,FOLIO228626
TXN100093,119644,2023-04-04,Lumpsum,2000.0,34.1664,376.1488,INV9175,Delhi,KYC_VERIFIED,FOLIO118665
TXN100094,121008,2022-10-05,SIP,10000.0,73.688,142.5147,INV3546,Karnataka,KYC_VERIFIED,FOLIO684705
TXN100095,120841,2022-09-21,Lumpsum,1000.0,58.2169,454.7676,INV8390,Tamil Nadu,KYC_VERIFIED,FOLIO320705
TXN100096,121007,2020-11-02,Lumpsum,500.0,125.4825,175.5052,INV9790,Delhi,KYC_VERIFIED,FOLIO496417
TXN100097,121012,2021-10-08,Lumpsum,25000.0,56.472,292.3033,INV1777,Gujarat,KYC_VERIFIED,FOLIO994137
TXN100098,121006,2021-08-13,SIP,5000.0,188.9841,63.1268,INV1205,Telangana,KYC_VERIFIED,FOLIO399068
TXN100099,118551,2023-01-09,SIP,5000.0,35.1007,150.0125,INV6173,Karnataka,KYC_VERIFIED,FOLIO395505
TXN100100,125497,2023-09-26,Lumpsum,10000.0,164.1512,260.29,INV4750,Delhi,KYC_VERIFIED,FOLIO379122
TXN100101,121012,2021-12-22,SIP,1000.0,134.1078,384.4435,INV3712,Delhi,KYC_VERIFIED,FOLIO161661
TXN100102,121010,2020-09-07,Lumpsum,25000.0,146.2407,376.5482,INV3672,Maharashtra,KYC_VERIFIED,FOLIO822923
TXN100103,118825,2024-06-12,Redemption,5000.0,19.0041,301.0855,INV9903,Tamil Nadu,KYC_VERIFIED,FOLIO248499
TXN100104,118632,2022-08-09,SIP,5000.0,128.2835,487.3545,INV6504,Uttar Pradesh,KYC_PENDING,FOLIO488054
TXN100105,120594,2020-11-26,Lumpsum,25000.0,7.799,223.7557,INV3746,Delhi,KYC_VERIFIED,FOLIO321577
TXN100106,119775,2020-06-08,Lumpsum,5000.0,58.5899,111.2992,INV9909,Uttar Pradesh,KYC_VERIFIED,FOLIO989494
TXN100107,120178,2022-10-11,SIP,5000.0,88.9755,99.2408,INV8677,Delhi,KYC_VERIFIED,FOLIO994902
TXN100108,119203,2021-01-11,SIP,500.0,25.6469,472.0909,INV1784,Kerala,KYC_VERIFIED,FOLIO133333
TXN100109,121008,2022-08-16,Lumpsum,2000.0,133.7293,483.8172,INV6016,Gujarat,KYC_VERIFIED,FOLIO255282
TXN100110,121003,2023-10-06,SIP,10000.0,38.0045,158.1833,INV9747,Rajasthan,KYC_VERIFIED,FOLIO400734
TXN100111,121016,2022-04-07,Lumpsum,500.0,133.706,325.2959,INV5383,Uttar Pradesh,KYC_VERIFIED,FOLIO182870
TXN100112,120465,2022-03-15,Lumpsum,50000.0,177.1709,38.2414,INV4482,Uttar Pradesh,KYC_VERIFIED,FOLIO470836
TXN100113,125497,2022-10-28,Lumpsum,25000.0,72.2885,341.4588,INV8991,Delhi,KYC_VERIFIED,FOLIO609096
TXN100114,118632,2022-05-27,Lumpsum,5000.0,180.6264,212.7699,INV2665,Karnataka,KYC_VERIFIED,FOLIO415384
TXN100115,121010,2020-10-05,Redemption,50000.0,48.717,295.553,INV7588,Uttar Pradesh,KYC_VERIFIED,FOLIO877892
TXN100116,119203,2023-03-09,SIP,10000.0,148.1962,181.6419,INV6129,Rajasthan,KYC_VERIFIED,FOLIO839549
TXN100117,118712,2020-09-23,Redemption,1000.0,6.1479,373.5776,INV4669,Karnataka,KYC_VERIFIED,FOLIO625904
TXN100118,121005,2021-04-22,Lumpsum,10000.0,104.0854,364.4765,INV3676,Gujarat,KYC_VERIFIED,FOLIO561050
TXN100119,118632,2021-04-16,SIP,500.0,62.0617,472.3845,INV4343,Uttar Pradesh,KYC_VERIFIED,FOLIO877425
TXN100120,118712,2020-04-14,SIP,50000.0,34.6901,464.8425,INV8112,Tamil Nadu,KYC_VERIFIED,FOLIO625989
TXN100121,119551,2022-05-05,Redemption,50000.0,86.7841,460.5088,INV2698,Telangana,KYC_VERIFIED,FOLIO327315
TXN100122,121015,2021-01-04,Lumpsum,10000.0,58.5417,343.9662,INV4827,Telangana,KYC_PENDING,FOLIO646653
TXN100123,121017,2024-04-18,Lumpsum,50000.0,10.6549,362.9754,INV2160,Karnataka,KYC_VERIFIED,FOLIO268202
TXN100124,121013,2024-10-29,SIP,1000.0,57.3828,266.7917,INV5218,Gujarat,KYC_VERIFIED,FOLIO512361
TXN100125,119775,2023-12-22,Lumpsum,50000.0,31.6198,12.1751,INV7133,West Bengal,KYC_VERIFIED,FOLIO786413
TXN100126,121003,2024-05-27,SIP,5000.0,186.0871,388.2097,INV5719,Uttar Pradesh,KYC_VERIFIED,FOLIO486396
TXN100127,121004,2023-06-07,SIP,50000.0,118.8692,232.7826,INV7548,Rajasthan,KYC_VERIFIED,FOLIO602731
TXN100128,125497,2022-01-07,Lumpsum,500.0,82.5442,238.7969,INV8303,Uttar Pradesh,KYC_VERIFIED,FOLIO825917
TXN100129,121017,2023-12-25,Lumpsum,25000.0,119.8315,156.6245,INV1440,Kerala,KYC_VERIFIED,FOLIO866192
TXN100130,119775,2020-05-21,SIP,1000.0,135.1037,49.0114,INV1622,Delhi,KYC_PENDING,FOLIO249627
TXN100131,119551,2020-09-11,SIP,10000.0,64.8267,65.2312,INV7078,Delhi,KYC_PENDING,FOLIO192166
TXN100132,121015,2023-05-22,SIP,2000.0,166.8755,60.6347,INV7247,Karnataka,KYC_VERIFIED,FOLIO145177
TXN100133,121011,2023-03-23,Redemption,2000.0,47.2578,390.8762,INV6782,West Bengal,KYC_VERIFIED,FOLIO821497
TXN100134,121010,2021-01-18,SIP,10000.0,51.9709,82.6637,INV1859,Rajasthan,KYC_VERIFIED,FOLIO200285
TXN100135,121012,2023-05-23,Lumpsum,25000.0,128.4641,353.5195,INV3027,Kerala,KYC_VERIFIED,FOLIO472026
TXN100136,121003,2020-08-13,Lumpsum,5000.0,192.3043,65.7119,INV2632,West Bengal,KYC_VERIFIED,FOLIO607854
TXN100137,120178,2024-03-20,SIP,25000.0,17.1453,231.3974,INV6103,Maharashtra,KYC_VERIFIED,FOLIO171168
TXN100138,119775,2023-11-06,Redemption,1000.0,91.2245,255.1662,INV7744,Uttar Pradesh,KYC_VERIFIED,FOLIO757589
TXN100139,121003,2021-03-16,SIP,50000.0,44.9239,362.66,INV1839,West Bengal,KYC_PENDING,FOLIO136997
TXN100140,120465,2022-02-21,SIP,25000.0,45.1533,175.5272,INV7308,Telangana,KYC_VERIFIED,FOLIO757560
TXN100141,121001,2022-10-04,Lumpsum,10000.0,167.3393,52.3783,INV6859,Rajasthan,KYC_VERIFIED,FOLIO647262
TXN100142,119092,2023-01-13,Lumpsum,10000.0,145.0438,423.5778,INV5451,Tamil Nadu,KYC_VERIFIED,FOLIO583373
TXN100143,120503,2024-07-01,SIP,1000.0,83.8832,181.2499,INV6902,Kerala,KYC_PENDING,FOLIO918954
TXN100144,121014,2022-09-12,Lumpsum,5000.0,54.8177,235.352,INV1606,Gujarat,KYC_VERIFIED,FOLIO448393
TXN100145,121011,2024-11-29,Redemption,25000.0,133.5861,229.3575,INV3005,Rajasthan,KYC_VERIFIED,FOLIO382356
TXN100146,121002,2020-04-17,Redemption,5000.0,75.7134,29.7613,INV5853,Uttar Pradesh,KYC_VERIFIED,FOLIO405962
TXN100147,120712,2024-06-11,Lumpsum,5000.0,34.6117,263.6231,INV5328,West Bengal,KYC_VERIFIED,FOLIO381309
TXN100148,121016,2024-11-07,SIP,2000.0,43.9621,72.9903,INV5174,Uttar Pradesh,KYC_VERIFIED,FOLIO673007
TXN100149,121017,2023-11-03,SIP,2000.0,59.4365,132.4546,INV7773,Uttar Pradesh,KYC_VERIFIED,FOLIO261941
TXN100150,121018,2020-04-30,Redemption,1000.0,118.107,289.1425,INV4846,Tamil Nadu,KYC_VERIFIED,FOLIO704776
TXN100151,121011,2021-02-05,Lumpsum,50000.0,75.5432,486.8557,INV4957,Tamil Nadu,KYC_PENDING,FOLIO947936
TXN100152,121018,2023-01-17,SIP,10000.0,185.6681,245.1113,INV4456,Tamil Nadu,KYC_REJECTED,FOLIO340492
TXN100153,121014,2020-06-24,SIP,50000.0,176.5414,157.5325,INV2012,Maharashtra,KYC_VERIFIED,FOLIO726746
TXN100154,118890,2020-11-06,Lumpsum,25000.0,195.879,256.0774,INV2532,Maharashtra,KYC_VERIFIED,FOLIO894690
TXN100155,119775,2020-06-18,Lumpsum,5000.0,189.5869,431.1965,INV4771,Kerala,KYC_VERIFIED,FOLIO505725
TXN100156,121012,2024-11-12,SIP,500.0,171.3698,212.4836,INV4024,Delhi,KYC_VERIFIED,FOLIO931895
TXN100157,119203,2024-01-03,SIP,25000.0,52.1241,268.4756,INV6153,Gujarat,KYC_PENDING,FOLIO464454
TXN100158,121006,2024-06-18,Lumpsum,10000.0,193.1082,193.8123,INV4721,Maharashtra,KYC_VERIFIED,FOLIO748647
TXN100159,121014,2022-02-09,Lumpsum,10000.0,92.2883,15.4751,INV8741,Maharashtra,KYC_VERIFIED,FOLIO575783
TXN100160,118825,2022-04-05,Lumpsum,25000.0,129.1576,188.7222,INV4280,Telangana,KYC_VERIFIED,FOLIO934466
TXN100161,121014,2020-04-06,Lumpsum,5000.0,83.6033,59.5798,INV6998,Gujarat,KYC_VERIFIED,FOLIO666733
TXN100162,120712,2023-03-03,SIP,5000.0,9.2774,110.4394,INV5831,Telangana,KYC_VERIFIED,FOLIO296632
TXN100163,118890,2021-11-22,SIP,10000.0,134.2237,444.6242,INV3724,Maharashtra,KYC_VERIFIED,FOLIO616605
TXN100164,121003,2022-05-09,SIP,10000.0,159.8281,118.135,INV8493,Telangana,KYC_VERIFIED,FOLIO516100
TXN100165,119551,2020-06-11,SIP,25000.0,56.7545,72.3149,INV1418,Kerala,KYC_VERIFIED,FOLIO176683
TXN100166,119551,2020-03-10,SIP,2000.0,164.7404,281.3515,INV3686,Maharashtra,KYC_VERIFIED,FOLIO862552
TXN100167,119644,2024-05-02,SIP,5000.0,68.0143,251.9661,INV4356,Gujarat,KYC_VERIFIED,FOLIO727562
TXN100168,120503,2020-05-14,Redemption,500.0,177.7039,350.4344,INV3462,Rajasthan,KYC_PENDING,FOLIO181024
TXN100169,121002,2022-06-07,SIP,1000.0,33.2922,336.4353,INV7428,Rajasthan,KYC_VERIFIED,FOLIO460636
TXN100170,118989,2020-04-10,Redemption,2000.0,119.3141,93.7396,INV6625,Karnataka,KYC_VERIFIED,FOLIO198780
TXN100171,121013,2020-11-30,SIP,2000.0,85.646,226.5494,INV7156,Rajasthan,KYC_VERIFIED,FOLIO303349
TXN100172,120333,2020-01-29,Redemption,50000.0,99.7407,11.4911,INV7035,West Bengal,KYC_VERIFIED,FOLIO633504
TXN100173,119644,2021-12-22,SIP,2000.0,140.3959,449.1863,INV8286,Gujarat,KYC_VERIFIED,FOLIO311271
TXN100174,119644,2024-06-13,SIP,2000.0,160.0909,470.7056,INV4832,Rajasthan,KYC_VERIFIED,FOLIO728674
TXN100175,120465,2020-08-03,SIP,1000.0,5.7276,169.9024,INV8794,Rajasthan,KYC_VERIFIED,FOLIO310212
TXN100176,121009,2023-11-03,Lumpsum,5000.0,104.1399,308.4227,INV3126,West Bengal,KYC_VERIFIED,FOLIO961716
TXN100177,119092,2023-04-10,SIP,1000.0,96.3027,156.2522,INV8440,Karnataka,KYC_VERIFIED,FOLIO508874
TXN100178,121018,2020-08-10,Redemption,5000.0,23.0309,431.189,INV6275,West Bengal,KYC_VERIFIED,FOLIO590376
TXN100179,121009,2021-07-19,Lumpsum,500.0,28.7531,446.8864,INV4075,Karnataka,KYC_PENDING,FOLIO896174
TXN100180,125497,2024-12-11,Redemption,10000.0,102.9868,400.6922,INV4072,Karnataka,KYC_VERIFIED,FOLIO114086
TXN100181,121013,2024-01-08,Redemption,50000.0,131.5892,458.3587,INV4490,Tamil Nadu,KYC_VERIFIED,FOLIO242167
TXN100182,120594,2023-05-11,SIP,25000.0,130.7617,299.5128,INV3737,Maharashtra,KYC_VERIFIED,FOLIO979282
TXN100183,121016,2020-05-15,Lumpsum,2000.0,72.1539,187.7468,INV4428,Telangana,KYC_VERIFIED,FOLIO464282
TXN100184,120503,2022-04-11,SIP,10000.0,89.0416,438.1787,INV7549,Karnataka,KYC_VERIFIED,FOLIO413343
TXN100185,120333,2021-01-19,Lumpsum,25000.0,123.6377,201.2639,INV7297,Karnataka,KYC_PENDING,FOLIO365636
TXN100186,121003,2022-02-18,SIP,10000.0,162.2772,332.1862,INV4256,Tamil Nadu,KYC_VERIFIED,FOLIO759713
TXN100187,125497,2024-09-26,Lumpsum,50000.0,81.3983,447.2862,INV8511,Telangana,KYC_VERIFIED,FOLIO238312
TXN100188,121011,2020-09-03,SIP,50000.0,32.9377,43.3819,INV8398,Karnataka,KYC_VERIFIED,FOLIO415691
TXN100189,120712,2021-09-29,Lumpsum,2000.0,192.009,152.5097,INV8250,Gujarat,KYC_VERIFIED,FOLIO937977
TXN100190,119775,2024-06-06,SIP,500.0,166.9743,297.1033,INV4371,Maharashtra,KYC_VERIFIED,FOLIO344457
TXN100191,118825,2022-08-04,SIP,500.0,98.974,21.4579,INV6633,Karnataka,KYC_VERIFIED,FOLIO900706
TXN100192,121017,2024-02-23,SIP,10000.0,14.845,275.6854,INV8590,Kerala,KYC_PENDING,FOLIO312158
TXN100193,120841,2020-07-21,SIP,25000.0,151.4787,88.7694,INV2382,Karnataka,KYC_VERIFIED,FOLIO158123
TXN100194,118551,2024-10-31,Redemption,2000.0,145.123,80.5409,INV4786,Rajasthan,KYC_VERIFIED,FOLIO391975
TXN100195,121017,2024-06-10,SIP,25000.0,81.5552,10.2726,INV2086,Karnataka,KYC_REJECTED,FOLIO316896
TXN100196,121016,2022-04-12,SIP,50000.0,5.7221,441.2283,INV8836,Uttar Pradesh,KYC_VERIFIED,FOLIO651168
TXN100197,119092,2023-03-01,Lumpsum,25000.0,41.0083,470.6802,INV9097,West Bengal,KYC_VERIFIED,FOLIO892936
TXN100198,121001,2021-12-20,SIP,2000.0,100.1471,445.6101,INV1073,Uttar Pradesh,KYC_VERIFIED,FOLIO476393
TXN100199,121003,2024-08-26,Redemption,1000.0,143.2272,326.5252,INV5053,Telangana,KYC_VERIFIED,FOLIO347596
TXN100200,120594,2024-06-11,Lumpsum,2000.0,89.373,486.7194,INV7980,Uttar Pradesh,KYC_VERIFIED,FOLIO871498
TXN100201,118551,2023-07-31,SIP,5000.0,82.9009,27.6981,INV6777,Delhi,KYC_VERIFIED,FOLIO429875
TXN100202,121018,2024-10-01,Redemption,25000.0,22.4774,157.6969,INV7576,West Bengal,KYC_VERIFIED,FOLIO461608
TXN100203,125497,2022-09-22,Lumpsum,50000.0,184.8252,219.9919,INV9135,West Bengal,KYC_VERIFIED,FOLIO850037
TXN100204,121012,2022-07-22,Lumpsum,500.0,34.4025,126.7342,INV8890,Uttar Pradesh,KYC_VERIFIED,FOLIO204115
TXN100205,121020,2020-04-29,Redemption,25000.0,96.0749,64.7744,INV1762,Kerala,KYC_VERIFIED,FOLIO911226
TXN100206,118712,2020-12-25,SIP,5000.0,161.6103,260.0705,INV3825,Maharashtra,KYC_VERIFIED,FOLIO697582
TXN100207,119551,2023-06-26,SIP,5000.0,42.4954,228.8219,INV6551,Uttar Pradesh,KYC_VERIFIED,FOLIO105572
TXN100208,121018,2023-02-06,Lumpsum,1000.0,10.4786,340.3894,INV8220,Telangana,KYC_PENDING,FOLIO302329
TXN100209,121016,2021-06-24,Redemption,50000.0,117.5872,398.4079,INV4665,Delhi,KYC_REJECTED,FOLIO527798
