scheme_code,period,ret_1m,ret_3m,ret_6m,ret_1y,expense_ratio,benchmark_ret,alpha
118632,Oct-2021,-1.6,-2.16,12.4,8.18,2.382,10.82,2.648
118632,Jan-2022,-3.5,5.78,8.52,11.7,0.553,13.3,3.31
118632,Apr-2022,-0.39,0.94,12.56,29.39,2.149,13.38,0.892
118632,Jul-2022,1.12,-3.13,5.92,24.08,0.722,8.25,-0.295
118632,Oct-2022,1.1,-2.67,0.64,27.8,0.332,7.19,2.228
118632,Jan-2023,-0.13,3.94,13.04,0.08,2.309,8.51,0.785
118632,Apr-2023,6.97,-3.51,11.13,24.15,2.061,7.99,0.578
118632,Jul-2023,-0.87,3.83,13.25,10.73,0.975,20.41,2.578
118632,Oct-2023,2.78,0.53,-11.36,19.27,1.146,13.45,3.774
118632,Jan-2024,-0.44,6.09,17.31,19.99,0.964,20.09,-1.553
118632,Apr-2024,3.36,0.34,-0.75,11.43,2.435,8.74,-2.896
118632,Jul-2024,-3.13,5.89,1.69,-4.39,2.466,13.0,3.449
118632,Oct-2024,-0.14,6.74,13.4,6.95,1.623,8.4,2.847
119092,Jan-2020,-0.64,-2.57,7.37,23.99,0.768,18.04,3.798
119092,Apr-2020,1.33,0.51,0.91,-0.28,0.961,10.02,-2.762
119092,Jul-2020,4.9,3.97,13.77,11.65,2.087,14.67,2.822
119092,Oct-2020,0.36,10.07,13.62,19.08,2.059,4.49,4.498
119092,Jan-2021,-5.37,3.05,8.03,9.59,1.308,14.52,0.032
119092,Apr-2021,3.84,6.41,5.74,6.56,1.913,24.66,-0.394
119092,Jul-2021,5.79,-5.28,0.97,9.12,0.975,12.33,4.775
119092,Oct-2021,0.2,3.23,4.7,32.24,2.373,8.95,-0.945
119092,Jan-2022,2.92,-2.21,19.76,14.73,2.101,14.78,1.45
119092,Apr-2022,1.56,3.92,10.63,6.6,0.607,16.93,1.495
119092,Jul-2022,-4.82,1.12,17.71,12.56,0.232,3.03,0.08
119092,Oct-2022,-2.29,5.65,7.35,10.73,1.457,21.16,-0.263
119092,Jan-2023,-0.9,2.29,6.28,18.34,1.885,17.13,7.575
119092,Apr-2023,-3.88,4.65,3.36,32.09,1.641,-0.18,2.586
119092,Jul-2023,2.0,7.29,1.94,16.95,1.34,7.97,2.357
119092,Oct-2023,1.66,8.75,7.19,19.44,2.115,20.37,-0.443
119092,Jan-2024,3.91,4.82,7.95,20.84,0.342,8.56,3.365
119092,Apr-2024,6.97,3.38,-10.06,11.15,2.209,18.66,1.621
119092,Jul-2024,-2.63,8.32,10.98,7.71,1.736,8.72,0.754
119092,Oct-2024,-0.39,1.95,13.35,-2.07,0.363,13.06,0.525
120841,Jan-2020,1.26,-1.04,-4.42,6.07,1.558,3.88,-2.557
120841,Apr-2020,4.87,-2.92,6.71,24.05,1.114,10.23,0.774
120841,Jul-2020,1.74,14.06,9.89,20.01,0.635,13.67,4.37
120841,Oct-2020,2.63,5.82,0.26,3.84,1.684,17.29,3.586
120841,Jan-2021,5.2,3.44,10.76,18.88,0.755,10.07,-2.212
120841,Apr-2021,0.74,2.98,14.94,25.1,0.724,24.38,1.975
120841,Jul-2021,4.3,3.0,-0.98,10.17,0.84,10.41,0.334
120841,Oct-2021,1.19,1.55,15.36,30.97,1.901,15.24,3.93
120841,Jan-2022,1.53,-0.89,4.13,17.71,1.064,1.25,0.408
120841,Apr-2022,-1.01,7.91,2.11,9.85,1.073,16.75,3.922
120841,Jul-2022,2.68,9.03,15.65,-2.29,2.004,9.78,-1.642
120841,Oct-2022,0.24,7.15,17.19,1.89,1.38,23.79,6.077
120841,Jan-2023,-9.16,14.39,13.73,-6.77,0.333,19.55,2.401
120841,Apr-2023,-0.52,3.83,10.82,8.79,0.143,17.38,-0.252
120841,Jul-2023,-2.87,0.31,0.78,8.56,0.639,13.41,3.669
120841,Oct-2023,-1.24,0.24,5.69,5.8,1.499,6.67,0.185
120841,Jan-2024,-1.09,8.54,5.38,31.94,1.146,18.95,0.689
120841,Apr-2024,-1.63,3.33,2.25,-3.99,1.491,12.2,-0.251
120841,Jul-2024,2.33,3.73,16.87,17.9,1.328,16.16,1.41
120841,Oct-2024,1.75,9.63,-1.18,6.23,1.804,10.36,4.391
118989,Jan-2020,-3.04,3.35,3.14,29.3,1.881,13.43,3.922
118989,Apr-2020,-2.76,13.64,1.11,25.31,2.078,13.59,4.538
118989,Jul-2020,4.19,4.04,4.05,15.11,1.358,14.12,4.051
118989,Oct-2020,2.61,4.42,2.42,16.92,1.877,7.21,3.016
118989,Jan-2021,3.86,3.4,8.41,17.33,1.152,10.79,-0.957
118989,Apr-2021,2.36,13.29,0.54,12.86,1.75,26.48,-0.902
118989,Jul-2021,0.72,1.68,-1.78,2.22,1.688,16.25,0.101
118989,Oct-2021,5.43,-7.75,-1.81,6.58,1.301,9.29,0.997
118989,Jan-2022,2.66,10.79,12.62,14.51,0.738,18.61,6.211
118989,Apr-2022,3.11,1.05,8.81,19.22,1.711,17.19,2.16
118989,Jul-2022,4.69,-1.38,-5.19,10.47,0.704,1.19,-0.021
118989,Oct-2022,5.05,6.17,7.97,4.5,1.177,9.5,1.737
118989,Jan-2023,2.42,4.36,17.44,19.18,1.966,11.48,2.58
118989,Apr-2023,0.57,4.45,4.61,9.51,1.439,10.37,0.658
118989,Jul-2023,6.69,8.46,6.06,10.19,2.089,23.65,3.491
118989,Oct-2023,-3.96,7.82,14.28,33.79,0.436,12.83,2.626
118989,Jan-2024,-1.09,-0.77,9.8,0.11,1.191,16.89,2.745
118989,Apr-2024,4.95,5.82,7.07,25.6,2.321,10.0,1.339
118989,Jul-2024,2.55,3.17,-3.4,11.6,1.907,12.69,0.376
118989,Oct-2024,2.72,-4.55,9.91,30.14,0.498,12.35,0.882
120594,Jan-2020,0.51,-1.64,20.94,17.47,1.678,7.29,1.654
120594,Apr-2020,-5.3,8.76,3.4,17.5,0.188,17.79,2.732
120594,Jul-2020,3.43,8.6,4.69,33.36,1.67,11.83,-0.603
120594,Oct-2020,0.58,5.51,7.67,30.45,2.253,16.08,-1.314
120594,Jan-2021,7.75,-2.47,21.52,12.78,1.871,20.11,1.706
120594,Apr-2021,-0.16,6.71,11.65,17.73,0.373,13.52,3.124
120594,Jul-2021,-0.37,7.33,3.38,3.88,0.778,10.35,3.819
120594,Oct-2021,-3.16,8.97,2.64,-8.18,1.87,10.15,2.611
120594,Jan-2022,0.8,-2.55,1.55,3.26,0.145,11.46,3.034
120594,Apr-2022,-4.11,0.83,21.2,19.77,2.248,6.08,4.269
120594,Jul-2022,5.8,-2.24,-0.38,16.51,1.529,14.9,6.108
120594,Oct-2022,-1.71,3.7,12.05,20.39,0.483,8.35,0.352
120594,Jan-2023,6.31,-1.39,4.73,20.98,2.35,13.55,-3.249
120594,Apr-2023,1.78,3.76,8.15,6.18,1.662,11.77,4.748
120594,Jul-2023,3.11,-3.74,1.17,8.45,1.643,10.99,1.067
120594,Oct-2023,9.65,0.94,16.74,12.67,2.442,13.15,4.298
120594,Jan-2024,3.1,4.78,7.17,9.55,1.716,9.39,-0.101
120594,Apr-2024,2.43,2.0,15.97,18.21,2.088,5.13,0.066
120594,Jul-2024,8.21,2.31,12.31,2.25,1.428,10.87,5.753
120594,Oct-2024,-2.67,0.35,13.31,28.33,2.29,16.06,-0.742
119775,Jan-2020,-2.77,-2.23,0.89,16.03,1.803,13.5,0.712
119775,Apr-2020,-0.49,7.93,0.29,26.92,1.499,6.06,4.506
119775,Jul-2020,-2.12,9.97,9.33,-0.21,1.229,9.57,3.669
119775,Oct-2020,0.69,2.52,7.28,-3.96,1.704,20.04,3.473
119775,Jan-2021,-0.07,-0.93,-0.57,3.8,1.816,11.53,3.762
119775,Apr-2021,3.75,4.21,0.48,18.67,2.413,15.61,-1.092
119775,Jul-2021,-0.11,1.31,16.79,-7.91,0.651,7.16,1.192
119775,Oct-2021,2.44,5.14,12.91,19.49,1.578,16.39,1.207
119775,Jan-2022,-0.46,0.61,16.05,29.8,1.849,-6.99,-4.118
119775,Apr-2022,1.18,2.67,7.14,25.27,1.761,13.05,-2.31
119775,Jul-2022,-2.49,3.84,9.92,3.04,0.521,1.49,-5.158
119775,Oct-2022,-1.43,10.37,17.66,-0.35,1.873,16.57,0.398
119775,Jan-2023,5.3,7.22,13.41,6.6,2.106,24.1,1.856
119775,Apr-2023,1.06,1.32,-4.21,4.11,0.512,2.13,-2.359
119775,Jul-2023,-6.14,-0.41,11.73,11.15,1.229,16.6,5.722
119775,Oct-2023,8.02,4.22,5.03,10.28,1.395,11.06,1.118
119775,Jan-2024,0.94,-1.21,-9.33,7.98,1.53,20.46,3.849
119775,Apr-2024,-0.28,-0.45,18.37,4.25,0.706,22.14,1.81
119775,Jul-2024,0.32,9.3,7.5,15.77,1.88,-3.27,2.397
119775,Oct-2024,-1.1,2.46,7.79,7.92,1.093,14.31,2.009
118825,Jan-2020,1.53,2.91,6.31,14.71,1.875,19.62,1.272
118825,Apr-2020,-0.01,5.48,6.2,25.18,2.308,12.56,3.847
118825,Jul-2020,1.91,-2.27,13.23,-3.1,0.37,16.19,2.609
118825,Oct-2020,2.33,10.45,6.83,10.6,0.208,7.72,0.905
118825,Jan-2021,1.96,5.16,4.67,9.59,2.393,7.28,6.048
118825,Apr-2021,0.4,4.45,-3.44,37.07,0.662,4.95,1.347
118825,Jul-2021,-1.48,5.32,-3.58,24.23,2.41,11.29,-2.639
118825,Oct-2021,-1.24,3.81,-1.47,4.57,1.832,12.93,1.808
118825,Jan-2022,2.78,2.68,6.58,18.1,0.488,14.99,5.151
118825,Apr-2022,1.27,-3.24,14.62,11.79,0.562,16.27,2.427
118825,Jul-2022,-2.64,6.85,20.12,16.91,1.358,1.98,6.628
118825,Oct-2022,-0.35,-3.54,7.78,23.07,0.32,7.97,1.254
118825,Jan-2023,1.2,8.38,11.15,16.44,0.693,3.83,2.552
118825,Apr-2023,1.86,3.25,5.25,15.21,1.662,28.36,4.897
118825,Jul-2023,4.48,0.85,0.3,12.09,0.733,3.31,2.7
118825,Oct-2023,4.45,-7.68,0.7,25.05,0.473,6.8,3.338
118825,Jan-2024,-0.58,2.32,-0.97,14.15,0.533,9.13,3.114
118825,Apr-2024,1.05,8.9,3.76,28.0,2.262,13.46,2.201
118825,Jul-2024,-0.19,0.85,8.84,3.21,1.09,6.38,2.93
118825,Oct-2024,2.96,9.84,4.66,6.73,1.58,13.63,4.992
120465,Jan-2020,0.98,3.63,6.96,16.29,0.324,23.52,2.746
120465,Apr-2020,2.89,2.3,6.25,12.91,1.869,12.77,3.062
120465,Jul-2020,1.39,2.1,7.88,5.36,1.135,9.52,-1.387
120465,Oct-2020,2.59,6.06,0.98,19.61,0.313,23.85,0.912
120465,Jan-2021,1.04,0.47,10.46,13.96,1.167,9.4,2.68
120465,Apr-2021,0.49,-5.71,11.4,-1.73,1.362,11.14,1.479
120465,Jul-2021,1.34,3.69,9.54,13.02,0.659,9.95,-1.557
120465,Oct-2021,-3.03,6.79,-4.14,3.11,2.139,14.74,4.827
120465,Jan-2022,-1.63,5.61,-11.46,7.3,2.319,10.13,3.985
120465,Apr-2022,-5.5,-0.17,10.17,17.96,0.786,13.25,-1.36
120465,Jul-2022,-1.14,15.08,-1.82,1.26,1.718,5.64,5.981
120465,Oct-2022,9.4,2.3,9.17,-2.42,0.354,-1.43,-1.849
120465,Jan-2023,1.56,6.24,-3.39,9.12,0.629,10.1,-0.502
120465,Apr-2023,-0.71,6.76,8.97,19.05,0.146,16.3,1.412
120465,Jul-2023,-0.27,6.35,4.04,11.03,1.249,17.84,0.757
120465,Oct-2023,3.82,-2.89,4.96,7.23,1.3,16.41,2.889
120465,Jan-2024,2.46,4.19,5.88,24.81,1.581,17.0,-2.366
120465,Apr-2024,-0.8,5.56,17.7,10.89,0.234,4.26,0.146
120465,Jul-2024,3.32,11.4,4.95,6.81,0.429,2.31,4.589
120465,Oct-2024,-2.49,5.07,9.09,19.65,0.151,12.02,2.571
119386,Jan-2020,3.7,12.48,-0.72,-2.55,1.56,1.12,-1.499
119386,Apr-2020,-2.78,1.42,12.99,19.64,2.396,8.78,6.527
119386,Jul-2020,2.98,4.36,7.85,11.4,0.688,10.86,1.873
119386,Oct-2020,-3.75,0.32,3.14,18.38,1.808,12.29,-0.016
119386,Jan-2021,-2.1,-2.21,5.79,14.93,0.202,7.0,1.156
119386,Apr-2021,0.23,-1.71,7.58,30.29,1.359,3.23,5.171
119386,Jul-2021,4.97,10.66,6.7,6.95,0.541,18.85,5.515
119386,Oct-2021,-1.56,-9.1,6.88,5.86,0.224,10.57,2.525
119386,Jan-2022,-1.14,4.18,6.12,-6.75,0.601,9.29,-1.66
119386,Apr-2022,-0.98,4.51,7.32,19.8,0.239,4.97,-5.886
119386,Jul-2022,1.56,6.65,5.58,19.95,2.349,9.92,-0.801
119386,Oct-2022,3.29,-1.05,21.42,9.48,0.492,9.07,4.844
119386,Jan-2023,5.1,1.88,8.92,25.47,0.135,6.48,1.675
119386,Apr-2023,-1.04,4.25,1.49,17.36,1.785,5.27,-0.483
119386,Jul-2023,0.72,-4.06,0.82,21.0,0.181,-3.2,0.033
119386,Oct-2023,5.02,5.43,9.85,19.08,1.097,13.28,2.679
119386,Jan-2024,1.52,1.53,6.66,3.74,2.28,3.39,-0.541
119386,Apr-2024,3.25,4.95,3.61,-1.41,0.125,8.22,2.701
119386,Jul-2024,-0.35,-5.25,-2.69,10.16,0.734,5.02,-0.396
119386,Oct-2024,3.58,9.05,8.94,11.43,0.525,15.24,0.709
118551,Jan-2020,3.96,8.36,9.87,9.52,2.29,2.14,1.368
118551,Apr-2020,0.95,-3.39,23.55,19.01,2.336,24.33,0.26
118551,Jul-2020,3.69,3.94,3.77,10.97,2.097,17.26,1.194
118551,Oct-2020,-4.95,5.02,-1.73,18.85,1.591,8.34,-0.095
118551,Jan-2021,4.26,-5.33,12.16,17.08,1.31,9.31,2.716
118551,Apr-2021,-0.12,1.25,7.45,29.48,1.15,15.0,1.142
118551,Jul-2021,0.54,-4.13,-5.29,17.06,0.59,18.1,-1.04
118551,Oct-2021,2.85,0.62,2.63,5.78,0.164,16.29,0.711
118551,Jan-2022,2.97,3.56,-2.34,17.41,0.156,-3.69,0.523
118551,Apr-2022,-3.88,-2.66,5.26,13.32,1.493,15.16,1.214
118551,Jul-2022,-0.07,3.72,15.44,-5.35,2.415,8.3,-0.447
118551,Oct-2022,-0.01,-0.93,-0.28,21.62,1.049,0.49,3.185
118551,Jan-2023,2.79,-3.92,8.26,19.58,1.276,13.71,-0.188
118551,Apr-2023,2.83,-1.17,14.3,11.81,2.168,7.66,3.685
118551,Jul-2023,-0.97,8.8,8.49,1.53,0.403,12.28,-2.045
118551,Oct-2023,1.22,6.21,14.9,23.76,1.857,12.0,2.885
118551,Jan-2024,-0.62,12.92,0.76,30.55,1.591,7.29,4.091
118551,Apr-2024,2.57,1.44,6.05,16.39,1.974,20.97,2.928
118551,Jul-2024,-1.11,7.22,-5.23,10.52,1.595,10.68,0.774
118551,Oct-2024,3.17,12.35,8.52,10.75,0.226,17.01,1.013
120178,Jan-2020,-0.31,8.26,15.18,5.37,0.38,11.41,-1.351
120178,Apr-2020,-2.63,-1.7,14.33,19.85,1.289,8.15,4.825
120178,Jul-2020,2.68,0.72,5.97,8.95,1.948,17.92,0.579
120178,Oct-2020,3.75,9.86,17.46,3.44,1.009,16.26,-1.217
120178,Jan-2021,-2.73,3.37,4.11,12.45,1.146,24.96,0.346
120178,Apr-2021,2.96,6.09,-4.82,27.2,1.284,12.94,4.144
120178,Jul-2021,1.06,7.91,-6.13,21.36,1.022,13.2,-0.606
120178,Oct-2021,0.54,2.26,-0.97,17.22,2.155,3.47,2.726
120178,Jan-2022,-0.06,0.82,7.52,14.81,2.309,5.21,4.225
120178,Apr-2022,1.44,6.47,15.5,-3.29,2.056,11.01,4.047
120178,Jul-2022,-1.2,8.18,-0.39,17.62,1.045,11.07,-1.08
120178,Oct-2022,0.09,8.11,17.41,31.59,2.313,13.51,2.622
120178,Jan-2023,6.99,6.1,7.61,11.52,0.417,14.32,-0.379
120178,Apr-2023,-0.68,3.18,3.84,19.37,1.498,13.58,2.725
120178,Jul-2023,1.55,-15.46,0.87,20.37,0.93,17.13,3.779
120178,Oct-2023,0.4,0.55,7.07,13.6,1.065,-2.05,-0.335
120178,Jan-2024,-1.84,-9.09,3.54,0.5,1.251,9.07,2.633
120178,Apr-2024,0.45,-4.96,9.43,35.78,1.505,16.08,1.011
120178,Jul-2024,-0.27,0.7,8.68,3.78,1.643,8.02,-2.786
120178,Oct-2024,-0.83,9.76,7.97,-17.97,0.792,17.42,0.754
119203,Jan-2020,2.77,1.52,8.29,14.32,1.773,15.43,5.329
119203,Apr-2020,2.35,4.02,1.1,22.44,0.254,15.36,3.404
119203,Jul-2020,4.16,8.53,13.79,2.69,1.791,3.77,-2.1
119203,Oct-2020,5.78,-1.43,-0.89,13.5,1.391,25.57,0.816
119203,Jan-2021,2.54,-0.4,-4.63,7.44,0.236,7.65,-2.5
119203,Apr-2021,1.61,1.82,-3.79,14.96,0.567,19.19,-4.551
119203,Jul-2021,-0.99,-3.35,2.43,26.5,1.981,9.15,-0.573
119203,Oct-2021,6.08,-8.0,3.11,6.21,0.974,18.61,-3.008
119203,Jan-2022,-0.18,3.11,1.74,-1.61,0.73,7.43,3.522
119203,Apr-2022,2.75,13.22,7.77,19.3,0.766,22.27,1.526
119203,Jul-2022,0.89,6.2,2.49,9.5,0.524,16.39,2.993
119203,Oct-2022,0.96,4.85,13.72,4.15,1.6,-5.47,3.351
119203,Jan-2023,-1.15,-0.28,6.15,19.57,0.673,2.68,-0.624
119203,Apr-2023,1.89,-0.13,12.85,12.49,2.411,10.51,2.862
119203,Jul-2023,-1.67,13.19,-4.9,7.63,1.562,16.8,2.849
119203,Oct-2023,-2.45,8.49,2.11,17.49,0.53,10.53,3.775
119203,Jan-2024,0.77,5.19,5.08,-2.81,0.126,6.76,4.981
119203,Apr-2024,-2.89,9.63,5.75,17.66,1.287,10.15,-0.162
119203,Jul-2024,7.51,0.05,15.07,24.51,0.694,8.44,6.012
119203,Oct-2024,7.24,5.34,3.74,6.25,0.486,12.39,1.957
118712,Jan-2020,-2.84,3.66,15.01,21.34,2.013,11.35,-2.171
118712,Apr-2020,-0.8,1.8,11.43,7.64,1.835,16.55,0.443
118712,Jul-2020,-1.32,7.56,10.21,12.13,1.703,14.28,2.847
118712,Oct-2020,1.83,4.1,2.75,9.08,1.933,6.23,-1.195
118712,Jan-2021,0.93,8.45,-7.51,10.48,0.172,18.43,6.0
118712,Apr-2021,0.43,13.36,10.19,21.33,2.028,14.72,3.751
118712,Jul-2021,-0.87,-9.53,8.04,12.07,1.291,8.77,-0.263
118712,Oct-2021,-2.31,0.35,25.67,-0.28,1.716,11.67,6.436
118712,Jan-2022,3.42,11.26,4.3,1.49,0.209,11.25,1.527
118712,Apr-2022,0.56,6.45,2.02,5.66,1.767,13.23,1.764
118712,Jul-2022,4.47,11.23,-1.45,14.21,1.334,2.78,0.18
118712,Oct-2022,5.9,0.34,1.41,13.53,0.889,10.17,1.819
118712,Jan-2023,-5.65,6.36,8.55,21.96,1.782,10.19,3.91
118712,Apr-2023,-0.47,3.76,4.13,10.53,0.915,3.46,1.374
118712,Jul-2023,1.96,8.19,6.15,22.72,0.717,12.72,1.703
118712,Oct-2023,3.17,6.21,-0.79,15.95,1.77,20.77,-1.022
118712,Jan-2024,2.82,1.76,8.34,4.34,1.904,13.91,-0.925
118712,Apr-2024,5.55,-4.22,10.76,-7.86,1.351,14.88,3.282
118712,Jul-2024,0.88,2.29,10.97,22.56,1.24,4.26,0.998
118712,Oct-2024,-5.38,-3.34,2.07,21.79,0.229,10.27,2.25
120333,Jan-2020,-0.81,-6.47,1.78,12.91,2.061,10.76,2.63
120333,Apr-2020,3.97,9.1,8.21,3.77,1.832,5.09,-1.187
120333,Jul-2020,1.5,12.94,8.48,13.24,0.578,7.03,4.105
120333,Oct-2020,4.1,3.79,21.66,24.04,2.214,11.14,0.42
120333,Jan-2021,0.81,2.99,4.76,12.07,1.808,8.59,-2.493
120333,Apr-2021,2.44,3.9,6.14,21.98,2.068,7.74,-2.203
120333,Jul-2021,4.27,6.53,16.31,28.24,1.658,7.73,-2.989
120333,Oct-2021,-2.09,1.88,-7.43,4.3,1.339,17.36,-0.293
120333,Jan-2022,1.58,12.82,-5.64,23.77,1.142,19.6,3.917
120333,Apr-2022,-0.79,3.51,-3.22,9.29,1.306,13.82,3.474
120333,Jul-2022,5.95,1.32,15.01,16.41,0.36,11.1,1.79
120333,Oct-2022,-1.31,-1.7,-0.52,9.11,0.861,19.38,-4.628
120333,Jan-2023,1.53,6.14,0.26,11.91,0.819,11.54,3.157
120333,Apr-2023,2.92,0.5,-3.53,15.49,2.319,8.83,2.059
120333,Jul-2023,-0.11,5.03,24.59,20.17,1.8,15.07,1.693
120333,Oct-2023,2.78,5.89,13.04,14.53,2.114,3.19,2.653
120333,Jan-2024,-2.18,6.93,16.37,12.01,1.502,13.55,1.565
120333,Apr-2024,1.42,-0.65,0.29,-0.8,1.074,24.84,-2.233
120333,Jul-2024,-2.33,-0.53,1.69,16.42,2.072,10.81,-0.624
120333,Oct-2024,-0.23,3.2,6.06,31.83,0.103,10.74,-4.742
119644,Jan-2020,1.92,-6.38,10.86,15.28,1.754,8.19,1.567
119644,Apr-2020,3.23,-1.15,11.27,19.08,1.926,21.47,2.789
119644,Jul-2020,-3.82,8.44,2.39,21.18,1.655,-3.85,3.012
119644,Oct-2020,0.54,1.2,4.04,21.1,0.835,18.68,-2.299
119644,Jan-2021,2.09,7.36,12.24,15.66,1.352,8.7,-1.556
119644,Apr-2021,-0.86,-1.31,-0.88,30.23,0.365,18.75,-1.591
119644,Jul-2021,-1.87,-1.69,-0.77,22.31,0.542,10.6,8.268
119644,Oct-2021,1.15,3.8,2.2,6.76,1.71,17.11,2.928
119644,Jan-2022,5.07,-0.09,11.13,16.75,1.124,6.82,-1.097
119644,Apr-2022,2.82,7.86,2.67,19.48,0.296,9.83,-2.097
119644,Jul-2022,-2.74,0.12,3.88,13.67,0.712,10.37,3.198
119644,Oct-2022,-1.08,9.82,13.58,21.8,2.324,11.3,3.307
119644,Jan-2023,0.6,0.0,1.83,7.78,0.38,29.22,-3.381
119644,Apr-2023,-1.74,6.48,2.23,10.83,1.446,18.19,0.816
119644,Jul-2023,3.97,-4.99,2.76,18.45,0.917,6.21,-1.354
