scheme_code,date,amount,units,nav
118632,01-04-2022,5000,16.2706,228.4423
118632,01-05-2022,500,41.7519,109.5995
118632,01-06-2022,5000,25.5091,89.1703
118632,01-07-2022,5000,10.3435,286.5472
118632,01-08-2022,5000,41.6146,219.2418
118632,01-09-2022,2000,20.2706,102.8482
118632,01-10-2022,5000,22.1639,70.8517
118632,01-11-2022,5000,26.377,268.0268
118632,01-12-2022,2000,44.5272,63.6391
118632,01-01-2023,2000,23.4788,53.268
118632,01-02-2023,500,36.0245,226.5268
118632,01-03-2023,5000,26.1595,256.1005
118632,01-04-2023,2000,32.2631,298.2113
118632,01-05-2023,2000,37.5016,54.5248
118632,01-06-2023,5000,42.467,105.5602
118632,01-07-2023,500,25.8242,112.7669
118632,01-08-2023,1000,9.8797,75.8219
118632,01-09-2023,500,34.3522,283.9956
118632,01-10-2023,5000,41.9481,132.6217
118632,01-11-2023,5000,30.9393,100.1643
118632,01-12-2023,5000,48.879,279.9775
118632,01-01-2024,2000,42.774,41.7523
118632,01-02-2024,500,46.7969,194.7665
118632,01-03-2024,5000,41.7768,164.4189
118632,01-04-2024,500,7.6797,243.5597
118632,01-05-2024,5000,26.6927,224.7107
118632,01-06-2024,5000,6.8067,109.0698
118632,01-07-2024,500,15.3773,146.1152
118632,01-08-2024,2000,46.9376,251.4905
118632,01-09-2024,1000,30.9522,268.3617
118632,01-10-2024,2000,43.8377,44.7231
118632,01-11-2024,5000,13.5884,43.3015
118632,01-12-2024,1000,18.1578,190.9803
119092,01-01-2020,5000,46.0614,138.4277
119092,01-02-2020,5000,24.0045,62.9107
119092,01-03-2020,5000,9.6123,293.2522
119092,01-04-2020,500,10.7419,231.8599
119092,01-05-2020,500,29.1717,264.3589
119092,01-06-2020,1000,47.1275,87.2645
119092,01-07-2020,1000,16.3424,245.3432
119092,01-08-2020,5000,5.6863,169.8648
119092,01-09-2020,500,42.7523,255.5161
119092,01-10-2020,2000,18.4491,258.8819
119092,01-11-2020,2000,15.5195,20.4125
119092,01-12-2020,1000,15.6072,53.1629
119092,01-01-2021,500,11.5154,183.9074
119092,01-02-2021,2000,10.691,217.2372
119092,01-03-2021,500,18.8913,199.3079
119092,01-04-2021,1000,47.2525,297.6483
119092,01-05-2021,2000,47.5847,191.45
119092,01-06-2021,1000,45.7911,27.7986
119092,01-07-2021,5000,8.3558,245.23
119092,01-08-2021,500,11.208,69.4438
119092,01-09-2021,500,48.0851,178.7915
119092,01-10-2021,2000,37.9668,72.5656
119092,01-11-2021,500,7.5144,99.1893
119092,01-12-2021,5000,25.4176,83.3282
119092,01-01-2022,5000,35.5457,79.3202
119092,01-02-2022,2000,5.3866,40.8088
119092,01-03-2022,500,45.7427,194.0664
119092,01-04-2022,500,11.2296,45.9036
119092,01-05-2022,1000,41.4968,279.6663
119092,01-06-2022,5000,12.1673,166.2369
119092,01-07-2022,5000,40.8038,135.4957
119092,01-08-2022,500,36.3122,28.4878
119092,01-09-2022,500,15.3269,255.9852
119092,01-10-2022,5000,13.3636,241.2272
119092,01-11-2022,5000,34.8538,238.1924
119092,01-12-2022,500,22.3805,88.4131
119092,01-01-2023,2000,18.3466,197.2587
119092,01-02-2023,1000,7.0053,31.6022
119092,01-03-2023,500,17.4638,69.5797
119092,01-04-2023,1000,37.2567,26.6536
119092,01-05-2023,1000,39.0869,132.8282
119092,01-06-2023,5000,43.652,193.083
119092,01-07-2023,1000,19.0858,205.6693
119092,01-08-2023,2000,11.2863,166.9718
119092,01-09-2023,2000,25.0316,192.5559
119092,01-10-2023,500,11.9977,82.1935
119092,01-11-2023,2000,16.5071,46.7557
119092,01-12-2023,5000,19.8811,281.8392
119092,01-01-2024,1000,30.8945,255.3175
119092,01-02-2024,2000,34.7084,247.1207
119092,01-03-2024,5000,43.8916,194.7223
119092,01-04-2024,2000,16.9194,31.5131
119092,01-05-2024,500,28.0601,292.0951
119092,01-06-2024,500,39.1758,237.1239
119092,01-07-2024,1000,45.657,225.9286
119092,01-08-2024,2000,16.6264,159.855
119092,01-09-2024,2000,12.4426,82.2656
119092,01-10-2024,1000,17.8321,68.6202
119092,01-11-2024,5000,46.2377,116.107
119092,01-12-2024,500,42.2383,38.0292
120841,01-01-2020,500,39.4156,273.8805
120841,01-02-2020,5000,28.666,197.6706
120841,01-03-2020,5000,24.4414,230.208
120841,01-04-2020,1000,7.2486,30.2344
120841,01-05-2020,2000,9.9503,221.8884
120841,01-06-2020,5000,13.9794,122.5385
120841,01-07-2020,500,27.0651,251.4652
120841,01-08-2020,1000,44.399,82.1725
120841,01-09-2020,1000,42.6613,45.0978
120841,01-10-2020,1000,10.2604,154.2828
120841,01-11-2020,2000,20.1189,39.4409
120841,01-12-2020,5000,48.554,282.8952
120841,01-01-2021,1000,35.6844,281.4347
120841,01-02-2021,2000,33.9739,240.7555
120841,01-03-2021,500,15.2601,253.109
120841,01-04-2021,1000,35.7972,101.0774
120841,01-05-2021,2000,41.7418,95.6967
120841,01-06-2021,2000,39.5668,40.2561
120841,01-07-2021,1000,49.952,262.5849
120841,01-08-2021,2000,44.4046,210.5
120841,01-09-2021,1000,35.4747,109.9339
120841,01-10-2021,1000,29.8746,171.1104
120841,01-11-2021,500,23.5394,118.7845
120841,01-12-2021,2000,19.866,82.9246
120841,01-01-2022,5000,10.2986,272.4406
120841,01-02-2022,1000,8.1358,254.4772
120841,01-03-2022,500,43.3949,221.6745
120841,01-04-2022,500,46.4439,263.6652
120841,01-05-2022,1000,11.8255,173.7327
120841,01-06-2022,2000,20.2923,268.0172
120841,01-07-2022,2000,19.1317,208.0759
120841,01-08-2022,5000,20.2228,209.8933
120841,01-09-2022,2000,27.9927,265.9537
120841,01-10-2022,2000,16.0723,243.2907
120841,01-11-2022,2000,17.6571,138.072
120841,01-12-2022,2000,8.1056,187.3215
120841,01-01-2023,1000,10.3018,56.9596
120841,01-02-2023,5000,26.3555,98.7444
120841,01-03-2023,5000,33.7402,134.8718
120841,01-04-2023,1000,43.0091,140.0937
120841,01-05-2023,2000,22.9051,91.6866
120841,01-06-2023,2000,26.2099,221.7345
120841,01-07-2023,2000,6.8975,168.9115
120841,01-08-2023,5000,33.6185,44.0017
120841,01-09-2023,2000,17.4178,264.9753
120841,01-10-2023,5000,29.8673,62.5821
120841,01-11-2023,500,12.0753,221.706
120841,01-12-2023,2000,41.3689,181.1482
120841,01-01-2024,2000,24.6802,167.8457
120841,01-02-2024,1000,34.9601,197.4992
120841,01-03-2024,500,39.1175,235.9966
120841,01-04-2024,1000,36.3349,96.2033
120841,01-05-2024,1000,24.4741,248.7018
120841,01-06-2024,1000,41.3681,262.5027
120841,01-07-2024,2000,38.6805,263.7118
120841,01-08-2024,500,12.4921,31.1824
120841,01-09-2024,500,32.2791,138.0614
120841,01-10-2024,500,13.7773,167.925
120841,01-11-2024,500,43.5118,230.4819
120841,01-12-2024,5000,44.848,189.1719
118989,01-01-2020,1000,23.7734,258.694
118989,01-02-2020,5000,45.3116,212.1943
118989,01-03-2020,2000,17.6753,111.0503
118989,01-04-2020,1000,10.956,33.2053
118989,01-05-2020,5000,6.9201,266.5646
118989,01-06-2020,1000,34.2481,256.2268
118989,01-07-2020,2000,15.0779,101.2781
118989,01-08-2020,1000,43.463,54.1301
118989,01-09-2020,5000,15.1561,118.8876
118989,01-10-2020,2000,5.1371,154.1449
118989,01-11-2020,5000,43.6841,47.3638
118989,01-12-2020,500,16.2666,24.1436
118989,01-01-2021,1000,33.8647,200.2015
118989,01-02-2021,5000,28.3487,263.0555
118989,01-03-2021,5000,40.6783,245.9946
118989,01-04-2021,500,6.6258,57.1495
118989,01-05-2021,1000,9.0586,99.0625
118989,01-06-2021,2000,23.1653,64.0209
118989,01-07-2021,5000,27.2778,199.1486
118989,01-08-2021,2000,26.3435,135.4956
118989,01-09-2021,2000,45.4782,130.8909
118989,01-10-2021,1000,33.9018,253.5095
118989,01-11-2021,2000,15.1729,54.1487
118989,01-12-2021,2000,31.5895,223.6707
118989,01-01-2022,1000,36.2211,20.9672
118989,01-02-2022,5000,39.8228,189.2944
118989,01-03-2022,500,39.4064,140.458
118989,01-04-2022,5000,35.4267,192.462
118989,01-05-2022,2000,29.0088,77.2267
118989,01-06-2022,1000,8.9524,225.2468
118989,01-07-2022,1000,39.0071,156.7344
118989,01-08-2022,1000,41.4405,227.0905
118989,01-09-2022,5000,24.3199,289.1302
118989,01-10-2022,5000,23.2365,242.0803
118989,01-11-2022,2000,15.5789,196.0959
118989,01-12-2022,1000,26.1099,93.9396
118989,01-01-2023,5000,12.1972,296.3727
118989,01-02-2023,1000,33.9433,68.5926
118989,01-03-2023,5000,32.0845,222.3143
118989,01-04-2023,5000,31.3019,36.9308
118989,01-05-2023,2000,39.5935,231.2181
118989,01-06-2023,500,38.9244,24.2601
118989,01-07-2023,500,24.7608,214.2252
118989,01-08-2023,5000,17.2436,235.468
118989,01-09-2023,1000,16.4092,239.5753
118989,01-10-2023,5000,32.2228,96.4668
118989,01-11-2023,2000,37.9237,99.6169
118989,01-12-2023,1000,7.1507,264.7089
118989,01-01-2024,2000,39.1313,188.9026
118989,01-02-2024,2000,28.2406,235.5951
118989,01-03-2024,500,19.0349,195.6912
118989,01-04-2024,500,47.4789,130.2222
118989,01-05-2024,500,38.9877,155.771
118989,01-06-2024,5000,24.3121,56.2439
118989,01-07-2024,2000,7.3559,140.1408
118989,01-08-2024,2000,15.6969,287.7601
118989,01-09-2024,500,27.0164,125.1381
118989,01-10-2024,1000,11.1744,118.723
118989,01-11-2024,5000,32.9538,142.4762
118989,01-12-2024,5000,41.9257,21.1616
120594,01-01-2020,500,7.6791,263.6761
120594,01-02-2020,5000,47.6407,249.3675
120594,01-03-2020,5000,28.6794,252.063
120594,01-04-2020,500,29.5257,120.7823
120594,01-05-2020,500,8.6312,158.9678
120594,01-06-2020,1000,6.2531,200.3523
120594,01-07-2020,2000,13.6104,24.8672
120594,01-08-2020,1000,46.4954,175.7693
120594,01-09-2020,1000,40.0711,195.4453
120594,01-10-2020,2000,23.5897,195.7247
120594,01-11-2020,2000,30.2608,77.5644
120594,01-12-2020,1000,46.284,162.679
120594,01-01-2021,2000,33.7835,45.2895
120594,01-02-2021,500,24.5309,262.4701
120594,01-03-2021,500,36.6548,151.7689
120594,01-04-2021,5000,25.1096,23.1667
120594,01-05-2021,500,30.9654,21.4781
120594,01-06-2021,2000,11.167,23.4821
120594,01-07-2021,5000,5.1734,136.8634
120594,01-08-2021,1000,26.4377,142.3829
120594,01-09-2021,1000,28.5602,247.9465
120594,01-10-2021,500,18.1047,107.5211
120594,01-11-2021,500,15.5189,114.5802
120594,01-12-2021,2000,25.3597,128.1647
120594,01-01-2022,1000,43.2047,132.806
120594,01-02-2022,5000,25.1504,287.9304
120594,01-03-2022,2000,49.6864,233.5848
120594,01-04-2022,2000,16.8904,84.1459
120594,01-05-2022,5000,41.2766,105.9214
120594,01-06-2022,500,35.4107,171.2381
120594,01-07-2022,2000,38.7868,37.8497
120594,01-08-2022,5000,20.2292,165.6276
120594,01-09-2022,5000,37.1312,173.8331
120594,01-10-2022,5000,41.3769,141.78
120594,01-11-2022,2000,44.1741,167.4461
120594,01-12-2022,500,41.3781,129.7829
120594,01-01-2023,5000,19.8992,134.681
120594,01-02-2023,2000,11.6329,227.649
120594,01-03-2023,5000,18.5779,119.1729
120594,01-04-2023,1000,24.4457,181.3259
120594,01-05-2023,2000,35.406,138.6307
120594,01-06-2023,2000,26.6851,59.2897
120594,01-07-2023,5000,44.4676,148.926
120594,01-08-2023,2000,47.2106,63.6194
120594,01-09-2023,500,36.8595,210.8281
120594,01-10-2023,2000,34.8286,26.2463
120594,01-11-2023,500,27.4858,166.7721
120594,01-12-2023,2000,7.2893,72.7467
120594,01-01-2024,1000,19.1988,130.2865
120594,01-02-2024,5000,13.5142,197.0134
120594,01-03-2024,2000,46.4568,177.3778
120594,01-04-2024,2000,17.4034,39.8697
120594,01-05-2024,1000,32.8264,292.749
120594,01-06-2024,1000,8.5639,128.7426
120594,01-07-2024,2000,30.8557,202.4739
120594,01-08-2024,2000,25.8444,94.7703
120594,01-09-2024,5000,22.1691,218.6033
120594,01-10-2024,1000,12.7231,158.9214
120594,01-11-2024,5000,28.9307,86.4187
120594,01-12-2024,5000,47.1133,88.3641
119775,01-01-2020,500,9.9289,258.5851
119775,01-02-2020,5000,13.1259,130.3703
119775,01-03-2020,1000,31.0728,93.9189
119775,01-04-2020,5000,5.0282,21.901
119775,01-05-2020,2000,28.7085,155.7696
119775,01-06-2020,1000,46.4847,233.9464
119775,01-07-2020,5000,28.03,145.0666
119775,01-08-2020,5000,30.474,124.2009
119775,01-09-2020,5000,42.6497,210.5488
119775,01-10-2020,500,19.6546,144.9587
119775,01-11-2020,1000,30.3278,120.3403
119775,01-12-2020,500,44.4009,167.9416
119775,01-01-2021,2000,38.7329,273.4284
119775,01-02-2021,1000,41.7839,158.5768
119775,01-03-2021,1000,34.7958,248.7231
119775,01-04-2021,1000,49.0388,148.0303
119775,01-05-2021,500,18.1896,44.4897
119775,01-06-2021,2000,16.3876,24.0572
119775,01-07-2021,5000,21.792,209.9169
119775,01-08-2021,2000,32.6891,67.0026
119775,01-09-2021,2000,13.433,21.6669
119775,01-10-2021,2000,48.6587,27.5558
119775,01-11-2021,5000,33.688,123.7049
119775,01-12-2021,1000,22.1544,222.3637
119775,01-01-2022,2000,28.327,268.1687
119775,01-02-2022,2000,9.8651,151.5349
119775,01-03-2022,2000,6.6564,294.1294
119775,01-04-2022,500,38.0312,80.5319
119775,01-05-2022,2000,15.1711,211.7595
119775,01-06-2022,1000,20.7701,277.5615
119775,01-07-2022,1000,20.7422,280.9081
119775,01-08-2022,500,44.8106,102.0876
119775,01-09-2022,1000,44.7667,207.7777
119775,01-10-2022,1000,33.6776,204.9564
119775,01-11-2022,2000,28.2728,70.8984
119775,01-12-2022,5000,26.2726,224.0887
119775,01-01-2023,500,19.0968,206.5724
119775,01-02-2023,1000,25.2603,289.5897
119775,01-03-2023,5000,37.2869,175.4202
119775,01-04-2023,1000,8.4904,151.5322
119775,01-05-2023,5000,40.5424,225.6684
119775,01-06-2023,500,7.273,159.9145
119775,01-07-2023,1000,17.8087,273.2049
119775,01-08-2023,5000,11.7992,21.8487
119775,01-09-2023,1000,15.7659,266.1828
119775,01-10-2023,2000,35.3265,212.3293
119775,01-11-2023,500,35.5531,229.1922
119775,01-12-2023,2000,35.1449,253.5971
119775,01-01-2024,2000,20.781,150.7172
119775,01-02-2024,2000,24.8106,113.1018
119775,01-03-2024,2000,22.3244,51.1193
119775,01-04-2024,1000,42.3749,231.8104
119775,01-05-2024,2000,47.5309,285.8215
119775,01-06-2024,1000,43.5524,28.2244
119775,01-07-2024,2000,25.5801,221.2406
119775,01-08-2024,1000,33.5666,209.946
119775,01-09-2024,1000,47.6796,174.4223
119775,01-10-2024,5000,45.6819,248.1493
119775,01-11-2024,500,41.6152,52.8567
119775,01-12-2024,1000,12.1442,297.866
118825,01-01-2020,1000,25.7278,286.2886
118825,01-02-2020,1000,21.2828,86.3506
118825,01-03-2020,500,28.5179,75.913
118825,01-04-2020,500,7.9163,247.6594
118825,01-05-2020,1000,31.0726,49.3008
118825,01-06-2020,1000,27.7512,196.9152
118825,01-07-2020,2000,20.1867,107.0674
118825,01-08-2020,1000,9.9223,52.3935
118825,01-09-2020,1000,11.2473,82.5662
118825,01-10-2020,1000,12.4168,244.6956
118825,01-11-2020,500,29.8665,183.2283
118825,01-12-2020,1000,22.8373,103.5607
118825,01-01-2021,2000,29.067,120.4016
118825,01-02-2021,1000,11.1477,275.8323
118825,01-03-2021,1000,7.9821,273.596
118825,01-04-2021,2000,12.6709,47.3645
118825,01-05-2021,5000,46.9865,81.9624
118825,01-06-2021,500,40.4146,200.0507
118825,01-07-2021,2000,21.4517,46.0215
118825,01-08-2021,2000,36.9795,130.5388
118825,01-09-2021,5000,7.3293,237.2626
118825,01-10-2021,2000,36.1522,168.2041
118825,01-11-2021,2000,20.1664,115.8731
118825,01-12-2021,1000,8.081,212.2798
118825,01-01-2022,500,5.0638,28.6747
118825,01-02-2022,500,14.1551,179.6548
118825,01-03-2022,1000,23.9332,134.4188
118825,01-04-2022,2000,30.9554,187.1117
118825,01-05-2022,500,41.859,250.5873
118825,01-06-2022,5000,42.9878,266.3525
118825,01-07-2022,500,31.7825,223.6233
118825,01-08-2022,2000,13.9553,120.9291
118825,01-09-2022,1000,28.5243,34.5005
118825,01-10-2022,5000,23.2502,65.021
118825,01-11-2022,2000,29.5239,161.4382
118825,01-12-2022,1000,27.0711,25.1349
118825,01-01-2023,2000,6.3034,133.361
118825,01-02-2023,1000,34.115,55.2532
118825,01-03-2023,1000,33.373,80.9276
118825,01-04-2023,5000,22.7339,47.134
118825,01-05-2023,5000,46.2138,209.0515
118825,01-06-2023,500,40.0841,194.2084
118825,01-07-2023,500,45.3163,36.2844
118825,01-08-2023,5000,13.5261,130.8212
118825,01-09-2023,500,28.6508,94.6289
118825,01-10-2023,1000,40.8857,22.0983
118825,01-11-2023,2000,22.7017,21.4378
118825,01-12-2023,5000,43.1179,145.0913
118825,01-01-2024,500,44.5302,29.6076
118825,01-02-2024,2000,16.7973,53.2896
118825,01-03-2024,2000,47.5538,245.5594
118825,01-04-2024,500,21.4126,212.4421
118825,01-05-2024,1000,14.9366,23.9622
118825,01-06-2024,5000,42.0849,222.3555
118825,01-07-2024,5000,27.0341,64.9215
118825,01-08-2024,500,32.1176,201.3196
118825,01-09-2024,500,40.1377,152.607
118825,01-10-2024,1000,36.7861,199.1471
118825,01-11-2024,5000,18.1723,77.2052
118825,01-12-2024,1000,38.5675,199.7442
